title,release_year,genres,popularity,vote_average,vote_count,original_title,overview,release_date,original_language
just go with it,2011,"Comedy,Romance",55.362,6.7,5714.0,Just Go with It,"While romancing Palmer, a much younger schoolteacher, plastic surgeon Danny Maccabee enlists his loyal assistant Katherine to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, Katherine's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives.",2011-02-10,en
all ladies do it,1992,"Comedy,Drama",50.009,4.9,379.0,Così fan tutte,"After five years of marriage, Diana discovers the joys of adultery, claiming that she can save her failing relationship through betrayal.",1992-02-21,it
itinerary of a spoiled child,1988,"Drama,Adventure",6.797,7.348,197.0,Itinéraire d'un enfant gâté,"A foundling, raised in the circus, Sam Lion becomes a businessman after a trapeze accident. However, when he reaches fifty and becomes tired of his responsibilities and of his son Jean-Philippe, he decides to disappear at sea. However, he runs into Albert Duvivier, one of his former employees. He comes to realise that he has ignored the important things in his life.",1988-11-30,fr
the hitman's bodyguard,2017,"Action,Comedy,Crime,Thriller",32.87,6.9,6173.0,The Hitman's Bodyguard,"The world’s top bodyguard gets a new client, a hitman who must testify at the International Court of Justice. They must put their differences aside and work together to make it to the trial on time.",2017-08-16,en
hitman's wife's bodyguard,2021,"Action,Comedy,Crime,Thriller",28.017,6.7,2277.0,Hitman's Wife's Bodyguard,"The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius's even more volatile wife, the infamous international con artist Sonia Kincaid. As Bryce is driven over the edge by his two most dangerous protectees, the trio get in over their heads in a global plot and soon find that they are all that stand between Europe and a vengeful and powerful madman.",2021-06-14,en
annabelle: creation,2017,Horror,63.049,6.592,5596.0,Annabelle: Creation,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",2017-08-03,en
directing annabelle: creation,2017,Documentary,5.206,9.0,5.0,Directing Annabelle: Creation,Director David F. Sandberg takes you through the process behind making the 2017 horror film Annabelle Creation.,2017-08-07,en
the nurse,2017,Horror,1.568,5.5,19.0,The Nurse,"During her stay in a hospital, a young girl with bandaged eyes encounters a sinister, spectral nurse. This short film is one of the five winning short films which were made for ""My Annabelle Creation"" competition as a promotion for the film Annabelle: Creation.",2017-08-16,en
the confession,2017,Horror,1.887,5.7,10.0,The Confession,"Fiona seeks refuge in her local church, escaping the evil within her house only to find that something far darker sits in the confession booth next to her. This short film is one of the five winning short films which were made for “My Annabelle Creation"" competition as a promotion for the film Annabelle: Creation.",2017-08-16,en
blund's lullaby,2017,Horror,0.295,3.5,8.0,Blund's Lullaby,"The film was inspired by the Nordic version of the Sandman, known as John Blund. This short film is one of the five winning short films which were made for “My Annabelle Creation"" competition as a promotion for the film Annabelle: Creation.",2017-09-14,sv
what's wrong with mom?,2017,Horror,0.902,6.3,10.0,Qué tiene Mamá?,"Something is happening to mom. Her daughter starts praying for her mom's health but soon she will find out what is happening to her. This short film is one of the five winning short films which were made for “My Annabelle Creation"" competition as a promotion for the film Annabelle: Creation.",2017-09-04,es
the dark tower,2017,"Fantasy,Action,Science Fiction",72.028,5.7,5086.0,The Dark Tower,A boy haunted by visions of a parallel world aids its disillusioned guardian in preventing the destruction of the nexus of universes known as the Dark Tower.,2017-08-03,en
the dark tower,1999,unknown,2.709,5.7,36.0,The Dark Tower,"This hand-painted,  step-printed film begins with streaks of light and vibrantly colored forms. There appears, frame center, the tapered shape of a tower-- An imposing silhouette against the backdrop of the flaring sky.",1999-01-01,en
the dark tower,1943,"Drama,Thriller",2.173,6.1,14.0,The Dark Tower,"While working at a circus, a man hypnotizes a trapezist to kill her partner.",1943-10-18,en
vision of the dark tower,2007,"Animation,Fantasy,Horror",0.497,0.0,0.0,Vision of the Dark Tower,"Vision of the Dark Tower is a dream within a dream. Based on the Dark Tower novels by Stephen King, this animated short describes the call of the Dark Tower to one of the main characters.",2007-10-17,en
dark tower,1987,"Horror,Thriller,Mystery",3.317,3.9,20.0,Dark Tower,A partially under construction office tower is being haunted by a deadly presence which seems to target the building's architect.,1987-10-29,en
the man with two faces,1934,"Crime,Drama",1.414,6.5,11.0,The Man with Two Faces,"Actress Jessica Wells, sister of actor Damon Wells, is on top of her form except when her husband Vance is around. When Vance takes her to the apartment of a theatrical producer she comes home incoherent and Vance is found dead in the vanished producer's hotel suite",1934-08-04,en
dunkirk,2017,"War,Action,Drama",40.14,7.5,16466.0,Dunkirk,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",2017-07-19,en
dunkirk,1958,"Drama,War",7.369,6.7,60.0,Dunkirk,"A British Corporal in France finds himself responsible for the lives of his men when their officer is killed. He has to get them back to Britain somehow. Meanwhile, British civilians are being dragged into the war with Operation Dynamo, the scheme to get the French and British forces back from the Dunkirk beaches. Some come forward to help, others were less willing.",1958-03-20,en
weekend at dunkirk,1964,"Drama,War",5.997,7.0,132.0,Week-end à Zuydcoote,"In June 1940, during the Dunkirk evacuation of Allied troops to England, French sergeant Julien Maillat and his men debate whether to evacuate to Britain or stay and fight the German troops that are closing-in from all directions.",1964-12-18,fr
operation dunkirk,2017,War,4.086,3.9,53.0,Operation Dunkirk,A band of soldiers tasked with staying behind during the Battle of Dunkirk to rescue a scientist with information that could turn the tide of the war must battle their way through dangerous Nazi territory to complete their mission.,2017-07-04,en
behind the line: escape to dunkirk,2020,War,3.536,6.3,64.0,Behind the Line: Escape to Dunkirk,"Occupied France, 1940. A Nazi Commander discovers one of his prisoners, Danny is a champion boxer. He forces him to fight for his company's entertainment. But the POWs realise they can use these contests, as cover for an audacious breakout, before they re sent to Germany, where escape will be almost impossible. Their fate and freedom may all come down to how long Danny can keep fighting.",2020-08-20,en
battle of dunkirk: from disaster to triumph,2018,"Documentary,War",2.198,7.4,6.0,Battle of Dunkirk: From Disaster to Triumph,Relive the bravery of the Dunkirk veterans in defenseless boats crossing the English Channel to rescue the stranded soldiers from the inferno through their uplifting stories of heroism in a battle that changed the course of WWII.,2018-03-06,en
war for the planet of the apes,2017,"Drama,Science Fiction,War",69.135,7.2,9022.0,War for the Planet of the Apes,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",2017-07-11,en
spider-man: homecoming,2017,"Action,Adventure,Science Fiction,Drama",89.705,7.334,21820.0,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",2017-07-05,en
a fan's guide to spider-man: homecoming,2017,Documentary,1.803,7.6,14.0,A Fan's Guide to Spider-Man: Homecoming,Zendaya and Tom Holland give fans an exclusive behind-the-scenes look at Spider-Man Homecoming.,2017-06-03,en
banana,2010,"Animation,Family,Comedy",7.996,7.1,280.0,Banana,The Minions fight over a delicious banana... but is that all they want?!,2010-12-13,en
transformers: the last knight,2017,"Action,Adventure,Science Fiction",83.739,6.1,6201.0,Transformers: The Last Knight,"Humans and Transformers are at war. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth. Saving our world falls upon the shoulders of an unlikely alliance: Cade Yeager; Bumblebee; an English Lord; and an Oxford Professor.",2017-06-16,en
cars 3,2017,"Family,Animation,Adventure,Comedy",71.444,6.9,5829.0,Cars 3,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",2017-06-15,en
the little cars 3: fast and curious,2007,Animation,0.868,1.0,3.0,Os Carrinhos 3: Velozes e Curiosos,"Join the Little Cars as they take you on another exciting, speed-racing experience.  This is the 3rd movie in the series.",2007-08-31,pt
spinning,2013,Animation,5.785,6.3,64.0,Spinning,Guido discovers he has a hidden talent as a street corner sign spinner.,2013-03-22,en
wonder woman,2017,"Action,Adventure,Fantasy",65.241,7.222,19935.0,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,2017-05-30,en
wonder woman,2009,"Action,Adventure,Animation,Fantasy,Science Fiction",11.854,7.2,551.0,Wonder Woman,"On the mystical island of Themyscira, a proud and fierce warrior race of Amazons have raised a daughter of untold beauty, grace and strength: Princess Diana. When an Army fighter pilot, Steve Trevor, crash-lands on the island, the rebellious and headstrong Diana defies Amazonian law by accompanying Trevor back to civilization.",2009-03-03,en
wonder woman 1984,2020,"Action,Adventure,Fantasy",34.902,6.427,8440.0,Wonder Woman 1984,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,2020-12-16,en
wonderful woman,2020,Drama,0.959,5.0,2.0,Wonder woman,"Kyeong-sook who lives a hard life working as a therapist at an adult massage parlor, is suffering from thyroid cancer at her menopausal stage.  Upon learning about her daughter's marriage that she missed, Kyeong-sook goes to Taebaek, Gangwon-do to find her husband, Yoo Byeong-ho who ruined her life and her family because of gambling.  Amid the rough blizzard, her husband could not be found anywhere... Suddenly, an outpour of sorrow and rage made her heart and head spin.",2020-05-28,en
wonder woman,2013,"Action,Fantasy,Science Fiction",4.253,6.137,51.0,Wonder Woman,It's one hundred and fifty seconds of pure fantasy.,2013-09-29,en
wonder woman: bloodlines,2019,"Science Fiction,Animation",12.099,6.9,472.0,Wonder Woman: Bloodlines,"Witness the legendary origin of renowned Justice League member Wonder Woman as she fights for good with her sword and magic lasso. Equally strong in body, heart and will, she makes it her mission to help a troubled young girl enlisted by a deadly organization known as Villainy, Inc., whose criminal members have their sights set on invading Themyscira, Wonder Woman’s paradise home. The battle will be epic, because if there's one thing an Amazon knows, it’s war!",2019-10-04,en
wonder woman,1974,"Action,Adventure,Fantasy,TV Movie",6.443,4.9,33.0,Wonder Woman,A super-hero uses her powers to thwart an international spy ring.,1974-03-12,en
woman is a wonderful thing,1964,Comedy,0.69,6.9,4.0,La donna è una cosa meravigliosa,,1964-12-31,it
wonder woman: who's afraid of diana prince?,1967,"TV Movie,Comedy",1.19,1.5,2.0,Wonder Woman: Who's Afraid of Diana Prince?,"The first attempt to translate Wonder Woman to the small screen in 1967. Diana lives with her mother close to a United States Air Force base. Much of the film consists of her mother berating Diana about not having a boyfriend. When her mother leaves the room, Diana changes into her Wonder Woman costume and admires her reflection in a mirror. What she sees is not Diana Prince, but rather a sexy super-heroic figure (played by Linda Harrison) who proceeds to preen and pose as the song ""Oh, You Beautiful Doll"" plays on the soundtrack.",1967-04-08,en
woman of wonders,1985,"Drama,Romance",1.656,0.0,0.0,La donna delle meraviglie,"In a straightforward yet unexceptional rendering of the life and loves of Alberto (Ben Gazzara), a writer/director approaching the hill though not yet over it, director Alberto Bevilacqua has used his own experiences to fashion a conventional tale about a search for the ""perfect woman."" His mettlesome neighbor Luisa (Lina Sastri) just will not leave him alone; she was the reason why he ended his marriage to Maura (Claudia Cardinale), but Alberto considers their affair dead and buried. Recently, an anonymous ""dream woman"" has been calling him for some seductive phone exchanges. As he searches out the identity of the mystery caller he is also distracted by Luisa who starts to insinuate herself back into his affections. Sooner or later, Alberto will just have to decide how to handle his love life, which in the end may only be mesmerizing to himself alone.",1985-09-06,it
professor marston and the wonder women,2017,"Drama,Romance",14.705,7.2,864.0,Professor Marston and the Wonder Women,"The unconventional life of Dr. William Marston, the Harvard psychologist and inventor who helped invent the modern lie detector test and created Wonder Woman in 1941.",2017-10-13,en
etta's mission,2017,Adventure,0.791,10.0,1.0,Etta's Mission,Etta Candy and the rest of the Wonder Woman team meeting up to discuss a top-secret mission.,2017-08-29,en
pirates of the caribbean: dead men tell no tales,2017,"Adventure,Action,Fantasy",63.9,6.654,11978.0,Pirates of the Caribbean: Dead Men Tell No Tales,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",2017-05-23,en
alien: covenant,2017,"Science Fiction,Horror,Thriller",49.209,6.152,8661.0,Alien: Covenant,"The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world.",2017-05-09,en
alien: covenant - prologue: meet walter,2017,Science Fiction,4.483,6.367,64.0,Alien: Covenant - Prologue: Meet Walter,"Introducing Walter, the latest synthetic by Weyland-Yutani. Created to serve. Intelligence powered by AMD, Ryzen and Radeon.",2017-03-10,en
alien: covenant - prologue: crew messages,2017,Science Fiction,1.529,5.7,17.0,Alien: Covenant - Prologue: Crew Messages,"Crew Messages are a series of five transmissions recorded by members (Daniels, Oram, Rosenthal, Lopé and Tennessee) of the Covenant's crew for broadcast home to their families.",2017-04-17,en
alien: covenant - prologue: the crossing,2017,"Horror,Science Fiction",7.462,6.5,143.0,Alien: Covenant - Prologue: The Crossing,"Aboard a hijacked Engineer vessel, Dr. Shaw repairs David as they make their way to the home-world of the Engineers, whom Shaw believes are humanity’s creators.  'The Crossing' is an official prologue short to 'Alien: Covenant', revealing what happened to crew members Dr. Elizabeth Shaw and the synthetic David after the events of 'Prometheus'.",2017-04-26,en
alien: covenant - prologue: phobos,2017,Science Fiction,7.848,5.9,28.0,Alien: Covenant - Prologue: Phobos,"At a Weyland-Yutani facility on Phobos, several members of the crew for the upcoming Covenant colony mission are subjected to psychological tests to evaluate their suitability for the expedition.",2017-07-19,en
alien: covenant - epilogue: the secrets of david’s lab,2017,Documentary,2.177,6.6,14.0,Alien: Covenant - Epilogue: The Secrets of David’s Lab,"Here we take a closer look with details about the android David's lab presented in 'Alien: Covenant', with new scenes and behind-the-scenes, exclusive material from the blu-ray.",2017-08-02,en
alien: covenant - epilogue: advent,2017,"Science Fiction,Horror",4.304,6.7,37.0,Alien: Covenant - Epilogue: Advent,"Advent is a sequel to Alien: Covenant in which David sends a transmission from the Covenant to Weyland-Yutani on Earth, elaborating upon the genetic experimentation he has been conducting on Planet 4.",2017-08-15,en
alien: covenant - prologue: last supper,2017,Science Fiction,6.7,6.1,118.0,Alien: Covenant - Prologue: Last Supper,"A prologue short to Alien: Covenant, it takes place aboard the Covenant, a Weyland colonization ship on its way to a remote planet to form a new human settlement.  Before the crew is set to enter hypersleep, the 14 crew members (all couples) and their android, Walter, enjoy a final meal together.",2017-02-22,en
alien: covenant - prologue: the audi lunar quattro,2017,Science Fiction,0.737,4.6,11.0,Alien: Covenant - Prologue: The Audi Lunar Quattro,"In the Covenant's Terraforming Bay, the ship's Audi lunar rover detects an unidentified lifeform reading and goes in search of the culprit.",2017-04-27,en
alien: covenant - prologue: she won't go quietly,2017,Science Fiction,1.649,5.1,12.0,Alien: Covenant - Prologue: She Won't Go Quietly,"""She Won't Go Quietly"" depicts Daniels having to combat a Xenomorph that is loose aboard the Covenant. The video is notable in that (unlike the majority of the short films created for both Prometheus and Alien: Covenant) the events it depicts are incongruous with the feature film, and thus it clearly cannot exist within the same continuity.",2017-05-05,en
alien: covenant - epilogue: david's lab: last signs of life,2019,Science Fiction,1.709,6.344,16.0,Alien: Covenant - Epilogue: David's Lab: Last Signs of Life,"Created to mark the two-year anniversary of Alien: Covenant's home video release, the film is a sequel to the movie in which a Weyland-Yutani team arrives to investigate David's laboratory on Planet 4.  One of the explorers enters David's laboratory to document the rogue synthetic's scientific discoveries. After carefully recording the specimens and records within the lab, including dissected Neomorphs and a vial of black liquid, he sets up his camera to analyze an egg-like object in one corner of the room while he continues his visual examination of the room. As the analysis continues, the Egg begins to show signs of life.",2019-08-16,en
guardians of the galaxy vol. 2,2017,"Science Fiction,Adventure,Action",60.37,7.617,21589.0,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,2017-04-19,en
guardians of the galaxy vol. 3,2023,"Science Fiction,Adventure,Action",104.296,8.0,6935.0,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",2023-05-03,en
guardians of the galaxy,2014,"Action,Science Fiction,Adventure",47.569,7.906,28058.0,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",2014-07-30,en
the fate of the furious,2017,"Action,Crime,Thriller",83.028,6.9,10269.0,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",2017-04-12,en
the boss baby and tim's treasure hunt through time,2017,Animation,2.273,6.3,18.0,The Boss Baby and Tim's Treasure Hunt Through Time,"Join the fun as Boss Baby and Tim battle pirates, travel through outer space, swim deep into the sea, and go toe-to-toe with some ferocious dinosaurs!",2017-07-04,en
beauty and the beast,1991,"Romance,Family,Animation,Fantasy",85.157,7.731,9949.0,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",1991-10-22,en
beauty and the beast,2017,"Family,Fantasy,Romance",90.178,6.971,15434.0,Beauty and the Beast,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,2017-03-16,en
beauty and the beast,2010,"Fantasy,Drama,Romance",6.624,4.4,55.0,Beauty and the Beast,"A twist on the morality tale of forbidden love between the beautiful Belle and the feared Beast. As the villagers are being brutally murdered and the Beast is hunted down as the one responsible for the mayhem, Belle and Beast team up to defeat the real killer; the power-hungry witch's malevolent troll.",2010-02-11,en
beauty and the beast,2014,"Fantasy,Romance",29.093,6.2,2026.0,La Belle et la Bête,"Forced to face the cruel side of life, a devastated, bankrupt merchant chances upon the enchanted castle of a hideous creature, the mere sight of it chills the bone to the marrow. There, a fate worse than death awaits the poor father-of-six, who, after plucking a sweet-scented rose from the repulsive master's verdant garden, must do the impossible: permit his compassionate daughter, Belle, to take his place and pay for the sins of her parent. Now, an impenetrable mystery shrouds the haunted mansion, and, as repugnance gradually turns into affection, only true love could break the spell.",2014-02-12,fr
beauty and the beast: the enchanted christmas,1997,"Animation,Family,Fantasy",66.425,6.2,1024.0,Beauty and the Beast: The Enchanted Christmas,"Astonished to find the Beast has a deep-seeded hatred for the Christmas season, Belle endeavors to change his mind on the matter.",1997-11-11,en
beauty and the beast,1946,"Drama,Fantasy,Romance",10.418,7.5,598.0,La Belle et la Bête,"The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty.",1946-10-29,fr
beauty and the beast,1987,"Family,Romance,Music",3.219,6.3,31.0,Beauty and the Beast,"To save her father, a girl who always puts others before herself promises to live her life in a lavish castle with a strange beast.",1987-04-01,en
beauty and the beast,2005,"Adventure,Fantasy,Drama,Action,Thriller",2.463,5.1,16.0,Beauty and the Beast,"Timeless tale of Beauty and the Beast set in the period of the Vikings. Freya, a warrior and the beautiful daughter of a Viking king, is held prisoner on an island castle by a Beast whom has been cursed by his god Odin.",2005-10-18,en
beauty and the beast,1992,"Animation,Adventure,Drama,Fantasy,Romance",5.272,6.0,31.0,Beauty and the Beast,"A young, beautiful girl awaits the day she will be killed after having asked for a most humble gift.",1992-05-04,en
the beast and the beauty,2005,"Comedy,Romance",4.565,6.2,22.0,야수와 미녀,An unattractive guy and a beautiful blind girl are in love. But their relationship is turned upside down when she regains her eyesight and he doesn't want to show her his face.,2005-10-27,ko
beauty and the beast,1976,"Family,Fantasy,Romance,TV Movie",0.846,6.0,3.0,Beauty and the Beast,"A beautiful girl agrees to marry a hideous, deformed beast and live in his castle in order to save her father's life.",1976-12-03,en
beauty and the beast,1977,Drama,4.818,6.5,7.0,La bella e la bestia,"Decameron-style collection of entertaining short stories with such diverse themes as nymphomania, bestiality, and masochism.",1977-04-18,it
beauty and the beast,1979,"Drama,Fantasy,Horror",4.338,7.5,69.0,Panna a netvor,"Julie, the youngest daughter of a bankrupt merchant, sacrifices her life in order to save her father. She goes to an enchanted castle in the woods and meets Netvor, a bird-like monster. As Netvor begins to fall in love with Julie, he must suppress his beastly urge to kill her.",1979-03-02,cs
beauty and the beast,1962,"Horror,Romance",0.557,4.2,6.0,Beauty and the Beast,A low-budget re-telling of the classic fairy tale.,1962-03-01,en
beauty and the beast,1997,"Romance,Animation,Fantasy",1.913,7.5,2.0,Beauty and the Beast,"A kind hearted merchant found shelter from a storm in an enchanted palace. He becomes imprisoned for picking a single flower for his youngest daughter Beauty. When his horse returned home alone, Beauty set out to finer her father, but what awaited her was a heart that matched her own.",1997-07-13,en
beauty and the beast,1996,"Animation,Romance,Fantasy",1.565,6.0,4.0,Beauty and the Beast,"The magical story of a beautiful young girl named Beauty, whose family were at one time wealthy merchants and how through great family misfortune and drama she finds herself living in a palace, with a grotesque beast.  During our tale, Beauty is visited by a kind fairy, but only in her dreams. Eventually Beauty breaks the spell which traps the beast and finds true love in the arms of a handsome Prince.",1996-06-29,en
kong: skull island,2017,"Action,Adventure,Fantasy",66.058,6.545,10433.0,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",2017-03-08,en
logan,2010,"Comedy,Drama,Family",2.998,5.8,9.0,Logan,A teen does everything he can to finish his younger brother's project when tragedy strikes.,2010-09-10,en
mark logan,2007,"Animation,Drama",0.485,6.6,5.0,Mark Logan,"In an Italian province of Calabria. Here we meet Marcello, his brother Paolo and their father, who have lost everything except hope of a better life on the other side of the Atlantic in America, where their uncle had emigrated to the year before last. Leaving their homeland and memories behind, Paolo and Giancarlo set sail for the New World. During their voyage, Marcello meets a daring orphan from Naples by the name of Antonia who will constantly lend him courage through thick and thin.",2007-01-01,en
logan lucky,2017,"Comedy,Crime",20.994,6.722,3507.0,Logan Lucky,"Trying to reverse a family curse, brothers Jimmy and Clyde Logan set out to execute an elaborate robbery during the legendary Coca-Cola 600 race at the Charlotte Motor Speedway.",2017-08-17,en
the taking of deborah logan,2014,"Horror,Mystery,Thriller",22.407,6.498,1232.0,The Taking of Deborah Logan,"What starts as a poignant medical documentary about Deborah Logan's descent into Alzheimer's disease and her daughter's struggles as caregiver degenerates into a maddening portrayal of dementia at its most frightening, as hair-raising events begin to plague the family and crew and an unspeakable malevolence threatens to tear the very fabric of sanity from them all.",2014-10-21,en
logan's run,1976,"Action,Science Fiction",13.205,6.6,933.0,Logan's Run,"In the 23rd century, inhabitants of a domed city freely experience all of life's pleasures — but no one is allowed to live past 30. Citizens can try for a chance at being ""renewed"" in a civic ceremony on their 30th birthday. Escape is the only other option.",1976-06-23,en
the murder of logan mwangi,2022,"Documentary,Crime",0.717,7.8,8.0,The Murder of Logan Mwangi,"Telling the story of the investigation into the murder of five-year-old Logan Mwangi, whose body was found in a river just yards from his home in Wales.",2022-06-30,en
the two worlds of jennie logan,1979,"Drama,Romance,TV Movie,Fantasy",2.696,5.3,9.0,The Two Worlds of Jennie Logan,"Hoping to repair their marriage, Jennie Logan and her husband move into a beautiful Victorian manor. When Jennie tries on an antique dress she finds in the attic, she is transported back one hundred years, where she meets the house's previous owner, David. As her feelings for David grow, it becomes clear that Jennie is not only torn between two men and two times, but she also faces danger in both worlds.",1979-10-31,en
logan's war: bound by honor,1998,"Action,Adventure,TV Movie",4.426,5.3,34.0,Logan's War: Bound by Honor,"Chuck Norris stars as martial arts extraordinaire Jake Fallon, who, after the death of his brother and sister-in-law, adopts (and trains) his orphaned nephew. Logan (Eddie Cibrian, TV's Invasion). After fifteen years of careful instruction, Logan is determined to avenge his parents Death... And, he'll need Uncle Jake's help to do it.",1998-11-01,en
the kate logan affair,2010,"Drama,Thriller",2.892,5.2,17.0,The Kate Logan Affair,A young psychologically unstable young police woman named Kate Logan and a married Frenchman find themselves caught up in a dramatic twisted affair.,2010-10-15,en
logan sargeant: racing against the odds,2024,"Documentary,Action",0.422,9.0,1.0,Logan Sargeant: Racing Against the Odds,An ESPN documentary detailing Logan Sargeant's entry into Formula 1.,2024-03-27,en
the legend of jack logan,2016,Horror,1.197,4.0,4.0,The Legend of Jack Logan,"It's dark terror under the blazing sun in this horrifying body count epic about a group of campers on a remote Florida island who accidentally resurrect Jack Logan, an undead sorcerer who was buried alive ninety years earlier.",2016-04-30,en
ypotron: final countdown,1966,"Action,Adventure,Crime,Science Fiction,Thriller",0.589,5.2,2.0,Agente Logan - missione Ypotron,Agent Lemmy Logan is investigating the case of a missing NASA scientist and discovers that an ex nazi is developing  a new super weapon.,1966-08-28,it
floyd mayweather jr. vs. logan paul,2021,Action,0.426,0.0,0.0,Floyd Mayweather Jr. vs. Logan Paul,"Floyd Mayweather Jr. vs. Logan Paul, billed as ""Bragging Rights"", is an exhibition boxing match between Floyd Mayweather Jr. and Logan Paul. It took place on June 6, 2021, at Hard Rock Stadium in Miami Gardens, Florida.",2021-06-06,en
get out,2017,"Mystery,Thriller,Horror",62.027,7.6,17470.0,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",2017-02-24,en
get out your handkerchiefs,1978,"Romance,Comedy,Drama",7.236,6.6,124.0,Préparez vos mouchoirs,"Solange is seriously depressed, and her kindhearted husband, Raoul, makes it his mission to cure her doldrums. After many failed attempts to cheer her up, Raoul hits upon a possible solution: find his wife a lover. Unfortunately, his choice, Stéphane, proves to be just as ineffectual in restoring her flagging spirits. In the end, the gorgeous Solange finds her own, highly problematic tonic to her troubles in the form of a 13-year-old boy.",1978-01-11,fr
don't. get. out!,2018,Thriller,5.62,6.335,118.0,Steig. Nicht. Aus!,"Taking his kids to school with the car, Berlin real estate developer Karl gets a call from a blackmailer: If he doesn’t pay up, the car will blow up. A deadly race against time begins.",2018-04-12,de
get the hell out,2020,"Comedy,Horror,Action",2.412,5.895,19.0,逃出立法院,"A group, lead by a loser MP and his assistant, must work together to stay alive after a virus infects the Taiwanese parliament and turns them all into ravenous zombies.",2020-08-14,zh
get thee out,1991,"Drama,Comedy",1.734,4.2,5.0,Изыди!,"In Russia at the turn of the century, a wealthy Jewish merchant enjoys the best of relations with his Russian neighbours, while his respected home forms the obvious social centre of the entire community. However, the atmosphere grows more tense as the local authorities come under pressure to fall in line with the officially sanctioned anti-Semitic policies of the Tsarist Government. The village elder is one of our hero's best friends and together they seem to find a way to outwit these evil intentions but unfortunately they fail to understand what forces they are dealing with in a country where anti-Semitism is state policy.",1991-09-11,ru
red light district: gonna get out,1974,Drama,3.98,6.2,4.0,赤線玉の井 ぬけられます,"It's the evening before the day all brothels must be shut-down, according to the new law, in 1958. At the Kofukuya's (literally, the house that sells happiness), five prostitutes decide to celebrate the day. Eroticism, drama, and comedy mix as each hour a different event passes, in which all the women's stories come to the surface.",1974-09-21,ja
